State,Case number,Vehicle count,Person count
District of Columbia,110001,1,1
District of Columbia,110002,1,1
District of Columbia,110003,2,2
District of Columbia,110004,1,1
District of Columbia,110005,2,2
District of Columbia,110006,2,1
District of Columbia,110007,1,1
District of Columbia,110008,2,2
District of Columbia,110009,2,2
District of Columbia,110010,1,1
District of Columbia,110011,2,11
District of Columbia,110012,1,1
District of Columbia,110013,1,1
District of Columbia,110014,1,1
District of Columbia,110015,1,1
District of Columbia,110016,1,1
District of Columbia,110017,2,2
District of Columbia,110018,1,1
District of Columbia,110019,1,1
District of Columbia,110020,1,2
District of Columbia,110021,2,3
District of Columbia,110022,1,1
District of Columbia,110023,7,6
District of Columbia,110024,1,3
District of Columbia,110025,4,6
District of Columbia,110026,1,1
Maryland,240001,2,2
Maryland,240002,1,1
Maryland,240003,1,2
Maryland,240004,3,4
Maryland,240005,1,2
Maryland,240006,1,1
Maryland,240007,3,4
Maryland,240008,1,1
Maryland,240009,2,2
Maryland,240010,1,2
Maryland,240011,1,1
Maryland,240012,2,4
Maryland,240013,2,5
Maryland,240014,1,1
Maryland,240015,1,1
Maryland,240016,1,1
Maryland,240017,2,2
Maryland,240018,2,2
Maryland,240019,1,4
Maryland,240020,1,1
Maryland,240021,1,3
Maryland,240022,2,5
Maryland,240023,1,1
Maryland,240024,1,1
Maryland,240025,2,2
Maryland,240026,1,1
Maryland,240027,1,1
Maryland,240028,2,4
Maryland,240029,1,2
Maryland,240030,2,2
Maryland,240031,1,1
Maryland,240032,2,3
Maryland,240033,3,8
Maryland,240034,1,1
Maryland,240035,1,2
Maryland,240036,1,1
Maryland,240037,1,1
Maryland,240038,1,1
Maryland,240039,1,1
Maryland,240040,2,2
Maryland,240041,1,4
Maryland,240042,2,3
Maryland,240043,1,1
Maryland,240044,9,10
Maryland,240045,1,2
Maryland,240046,4,5
Maryland,240047,1,1
Maryland,240048,1,1
Maryland,240049,2,3
Maryland,240050,1,1
Maryland,240051,2,2
Maryland,240052,1,1
Maryland,240053,1,1
Maryland,240054,1,1
Maryland,240055,2,2
Maryland,240056,4,4
Maryland,240057,2,5
Maryland,240058,2,3
Maryland,240059,1,2
Maryland,240060,3,3
Maryland,240061,1,1
Maryland,240062,1,1
Maryland,240063,1,1
Maryland,240064,1,2
Maryland,240065,2,2
Maryland,240066,2,2
Maryland,240067,2,3
Maryland,240068,1,1
Maryland,240069,1,1
Maryland,240070,1,1
Maryland,240071,1,1
Maryland,240072,1,1
Maryland,240073,4,3
Maryland,240074,1,2
Maryland,240075,1,1
Maryland,240076,2,2
Maryland,240077,1,1
Maryland,240078,2,3
Maryland,240079,1,2
Maryland,240080,2,5
Maryland,240081,1,1
Maryland,240082,1,1
Maryland,240083,2,2
Maryland,240084,1,1
Maryland,240085,2,2
Maryland,240086,2,2
Maryland,240087,4,5
Maryland,240088,1,1
Maryland,240089,1,5
Maryland,240090,2,2
Maryland,240091,1,3
Maryland,240092,1,1
Maryland,240093,1,1
Maryland,240094,1,1
Maryland,240095,3,4
Maryland,240096,2,2
Maryland,240097,1,2
Maryland,240098,3,2
Maryland,240099,2,2
Maryland,240100,1,1
Maryland,240101,1,1
Maryland,240102,1,1
Maryland,240103,1,1
Maryland,240104,1,1
Maryland,240105,1,2
Maryland,240106,1,1
Maryland,240107,1,2
Maryland,240108,2,2
Maryland,240109,1,2
Maryland,240110,2,2
Maryland,240111,1,1
Maryland,240112,1,1
Maryland,240113,2,2
Maryland,240114,1,1
Maryland,240115,1,1
Maryland,240116,1,1
Maryland,240117,1,3
Maryland,240118,1,1
Maryland,240119,1,1
Maryland,240120,2,2
Maryland,240121,2,2
Maryland,240122,1,2
Maryland,240123,1,3
Maryland,240124,1,2
Maryland,240125,1,1
Maryland,240126,2,1
Maryland,240127,1,3
Maryland,240128,2,1
Maryland,240129,1,1
Maryland,240130,1,2
Maryland,240131,2,3
Maryland,240132,1,1
Maryland,240133,1,2
Maryland,240134,2,2
Maryland,240135,1,1
Maryland,240136,2,2
Maryland,240137,2,3
Maryland,240138,3,3
Maryland,240139,1,2
Maryland,240140,2,9
Maryland,240141,1,3
Maryland,240142,1,1
Maryland,240143,1,1
Maryland,240144,1,1
Maryland,240145,1,3
Maryland,240146,2,3
Maryland,240147,3,11
Maryland,240148,4,7
Maryland,240149,2,9
Maryland,240150,1,1
Maryland,240151,1,1
Maryland,240152,2,3
Maryland,240153,2,2
Maryland,240154,2,5
Maryland,240155,2,1
Maryland,240156,1,4
Maryland,240157,1,3
Maryland,240158,2,2
Maryland,240159,1,1
Maryland,240160,1,1
Maryland,240161,2,1
Maryland,240162,2,1
Maryland,240163,1,1
Maryland,240164,1,1
Maryland,240165,1,1
Maryland,240166,2,2
Maryland,240167,1,1
Maryland,240168,1,1
Maryland,240169,2,2
Maryland,240170,1,1
Maryland,240171,1,4
Maryland,240172,1,4
Maryland,240173,3,3
Maryland,240174,2,4
Maryland,240175,1,3
Maryland,240176,3,2
Maryland,240177,3,4
Maryland,240178,1,1
Maryland,240179,1,1
Maryland,240180,2,5
Maryland,240181,3,4
Maryland,240182,3,4
Maryland,240183,1,1
Maryland,240184,1,1
Maryland,240185,2,2
Maryland,240186,3,3
Maryland,240187,2,5
Maryland,240189,1,1
Maryland,240190,2,2
Maryland,240191,1,1
Maryland,240192,1,1
Maryland,240193,1,2
Maryland,240194,3,3
Maryland,240195,7,10
Maryland,240196,1,1
Maryland,240197,1,2
Maryland,240198,3,8
Maryland,240199,2,3
Maryland,240200,1,1
Maryland,240201,2,3
Maryland,240202,2,2
Maryland,240203,1,2
Maryland,240204,2,2
Maryland,240205,1,1
Maryland,240206,2,2
Maryland,240207,1,1
Maryland,240208,1,1
Maryland,240209,2,2
Maryland,240210,1,1
Maryland,240211,1,1
Maryland,240212,1,1
Maryland,240213,1,2
Maryland,240215,3,6
Maryland,240216,1,1
Maryland,240217,2,1
Maryland,240218,1,2
Maryland,240219,2,2
Maryland,240220,2,2
Maryland,240221,2,4
Maryland,240222,2,2
Maryland,240223,2,2
Maryland,240224,1,1
Maryland,240225,2,2
Maryland,240226,1,1
Maryland,240227,2,3
Maryland,240228,1,1
Maryland,240229,1,1
Maryland,240230,1,1
Maryland,240231,1,2
Maryland,240232,1,1
Maryland,240233,1,1
Maryland,240234,2,2
Maryland,240235,1,1
Maryland,240236,1,1
Maryland,240237,2,2
Maryland,240238,2,2
Maryland,240239,1,1
Maryland,240240,2,2
Maryland,240241,2,2
Maryland,240242,2,2
Maryland,240243,2,7
Maryland,240244,1,1
Maryland,240245,2,2
Maryland,240246,1,1
Maryland,240247,1,1
Maryland,240248,1,4
Maryland,240249,1,3
Maryland,240250,3,5
Maryland,240251,2,3
Maryland,240252,2,3
Maryland,240253,1,3
Maryland,240254,2,2
Maryland,240255,1,2
Maryland,240257,2,2
Maryland,240258,2,4
Maryland,240259,2,2
Maryland,240260,2,3
Maryland,240261,1,1
Maryland,240262,2,2
Maryland,240263,2,5
Maryland,240264,1,1
Maryland,240265,2,4
Maryland,240266,3,3
Maryland,240269,2,2
Maryland,240270,1,1
Maryland,240271,1,2
Maryland,240272,1,1
Maryland,240273,1,1
Maryland,240274,1,1
Maryland,240276,2,2
Maryland,240277,1,3
Maryland,240278,2,6
Maryland,240279,1,1
Maryland,240280,1,1
Maryland,240281,3,3
Maryland,240282,4,8
Maryland,240284,1,1
Maryland,240285,3,5
Maryland,240286,2,5
Maryland,240287,1,3
Maryland,240289,4,5
Maryland,240290,2,2
Maryland,240291,2,1
Maryland,240292,1,1
Maryland,240293,1,1
Maryland,240294,1,1
Maryland,240295,2,2
Maryland,240296,2,2
Maryland,240297,6,1
Maryland,240298,3,7
Maryland,240299,2,5
Maryland,240300,2,2
Maryland,240301,1,1
Maryland,240302,1,1
Maryland,240303,1,1
Maryland,240304,7,9
Maryland,240305,1,2
Maryland,240306,1,2
Maryland,240307,2,2
Maryland,240308,2,1
Maryland,240309,5,3
Maryland,240310,1,1
Maryland,240311,1,1
Maryland,240312,1,1
Maryland,240313,3,3
Maryland,240314,2,4
Maryland,240315,2,2
Maryland,240316,1,1
Maryland,240317,3,4
Maryland,240318,1,1
Maryland,240319,2,4
Maryland,240320,3,2
Maryland,240321,1,1
Maryland,240322,2,3
Maryland,240323,1,1
Maryland,240324,1,1
Maryland,240325,1,1
Maryland,240326,1,1
Maryland,240327,1,1
Maryland,240328,1,1
Maryland,240329,1,1
Maryland,240330,2,2
Maryland,240331,2,3
Maryland,240332,1,2
Maryland,240333,3,5
Maryland,240334,1,1
Maryland,240335,1,1
Maryland,240336,1,1
Maryland,240337,1,1
Maryland,240338,3,5
Maryland,240339,1,1
Maryland,240340,2,2
Maryland,240341,1,1
Maryland,240342,1,2
Maryland,240343,1,2
Maryland,240344,3,3
Maryland,240345,1,1
Maryland,240346,1,1
Maryland,240347,2,2
Maryland,240348,1,1
Maryland,240349,2,2
Maryland,240350,1,1
Maryland,240351,3,1
Maryland,240352,1,1
Maryland,240353,2,1
Maryland,240354,1,2
Maryland,240356,2,2
Maryland,240357,1,1
Maryland,240358,1,1
Maryland,240359,1,1
Maryland,240360,1,3
Maryland,240361,2,2
Maryland,240362,1,1
Maryland,240363,2,3
Maryland,240364,1,1
Maryland,240365,2,2
Maryland,240366,3,4
Maryland,240367,1,2
Maryland,240368,1,2
Maryland,240369,2,2
Maryland,240370,2,2
Maryland,240371,2,2
Maryland,240372,1,3
Maryland,240373,1,1
Maryland,240374,2,2
Maryland,240375,3,5
Maryland,240376,1,1
Maryland,240377,2,3
Maryland,240378,2,2
Maryland,240379,1,1
Maryland,240380,2,3
Maryland,240381,3,4
Maryland,240382,3,3
Maryland,240383,1,2
Maryland,240384,4,4
Maryland,240385,2,3
Maryland,240386,2,3
Maryland,240387,1,1
Maryland,240388,2,2
Maryland,240389,1,1
Maryland,240390,2,3
Maryland,240391,1,1
Maryland,240392,1,1
Maryland,240393,1,4
Maryland,240394,1,1
Maryland,240395,2,3
Maryland,240396,2,5
Maryland,240397,1,1
Maryland,240398,3,3
Maryland,240399,1,1
Maryland,240400,1,1
Maryland,240402,2,3
Maryland,240403,4,6
Maryland,240404,1,1
Maryland,240405,2,7
Maryland,240406,1,3
Maryland,240407,1,1
Maryland,240408,1,1
Maryland,240410,1,1
Maryland,240411,2,2
Maryland,240412,1,1
Maryland,240413,2,3
Maryland,240414,1,2
Maryland,240415,1,2
Maryland,240416,2,3
Maryland,240417,1,1
Maryland,240418,1,2
Maryland,240419,2,2
Maryland,240420,3,3
Maryland,240421,3,1
Maryland,240422,1,1
Maryland,240423,2,2
Maryland,240424,1,1
Maryland,240425,1,1
Maryland,240426,3,7
Maryland,240427,2,2
Maryland,240428,2,2
Maryland,240429,2,2
Maryland,240430,1,1
Maryland,240431,1,1
Maryland,240432,1,1
Maryland,240433,6,2
Maryland,240434,1,1
Maryland,240435,1,1
Maryland,240436,1,1
Maryland,240437,1,1
Maryland,240438,1,1
Maryland,240439,2,2
Maryland,240440,1,1
Maryland,240441,2,2
Maryland,240442,1,2
Maryland,240443,1,1
Maryland,240444,2,2
Maryland,240445,1,2
Maryland,240446,3,7
Maryland,240447,1,2
Maryland,240448,2,2
Maryland,240449,2,5
Maryland,240450,3,3
Maryland,240451,1,3
Maryland,240453,2,3
Maryland,240454,2,7
Maryland,240455,1,4
Maryland,240456,2,3
Maryland,240457,1,1
Maryland,240458,1,1
Maryland,240459,2,2
Maryland,240460,1,1
Maryland,240461,5,5
Maryland,240462,1,1
Maryland,240463,2,2
Maryland,240464,2,2
Maryland,240465,1,1
Maryland,240466,3,3
Maryland,240467,1,1
Maryland,240468,2,2
Maryland,240469,1,1
Maryland,240470,2,4
Maryland,240471,3,7
Maryland,240472,3,1
Maryland,240473,2,2
Maryland,240474,1,1
Maryland,240475,2,2
Maryland,240476,2,2
Maryland,240477,1,1
Maryland,240478,1,2
Maryland,240479,1,1
Maryland,240480,1,2
Maryland,240481,2,2
Maryland,240482,2,4
Maryland,240483,1,1
Maryland,240484,1,1
North Carolina,370001,2,3
North Carolina,370002,1,2
North Carolina,370003,2,3
North Carolina,370004,2,2
North Carolina,370005,1,1
North Carolina,370006,1,2
North Carolina,370007,1,3
North Carolina,370008,1,1
North Carolina,370009,2,4
North Carolina,370010,1,2
North Carolina,370011,1,1
North Carolina,370012,1,1
North Carolina,370013,1,1
North Carolina,370014,2,2
North Carolina,370015,1,2
North Carolina,370016,5,8
North Carolina,370017,1,1
North Carolina,370018,1,3
North Carolina,370019,2,2
North Carolina,370020,2,4
North Carolina,370021,1,3
North Carolina,370022,1,1
North Carolina,370023,1,2
North Carolina,370024,3,8
North Carolina,370025,1,1
North Carolina,370026,2,4
North Carolina,370027,1,2
North Carolina,370028,1,1
North Carolina,370029,2,2
North Carolina,370030,2,2
North Carolina,370031,1,1
North Carolina,370032,1,1
North Carolina,370033,1,2
North Carolina,370034,1,2
North Carolina,370035,2,5
North Carolina,370036,2,4
North Carolina,370037,2,3
North Carolina,370038,1,2
North Carolina,370039,2,2
North Carolina,370040,1,2
North Carolina,370041,2,2
North Carolina,370042,1,1
North Carolina,370043,2,2
North Carolina,370044,1,6
North Carolina,370045,2,5
North Carolina,370046,1,2
North Carolina,370047,1,1
North Carolina,370048,2,3
North Carolina,370049,1,1
North Carolina,370050,1,1
North Carolina,370051,1,1
North Carolina,370052,3,3
North Carolina,370053,1,2
North Carolina,370054,1,1
North Carolina,370055,1,1
North Carolina,370056,2,5
North Carolina,370057,2,2
North Carolina,370058,1,1
North Carolina,370059,3,3
North Carolina,370060,1,1
North Carolina,370061,2,2
North Carolina,370062,1,2
North Carolina,370063,1,1
North Carolina,370064,2,5
North Carolina,370065,1,1
North Carolina,370066,1,3
North Carolina,370067,2,3
North Carolina,370068,1,1
North Carolina,370069,2,2
North Carolina,370070,1,1
North Carolina,370071,1,1
North Carolina,370072,1,1
North Carolina,370073,1,1
North Carolina,370074,2,2
North Carolina,370075,1,1
North Carolina,370076,1,1
North Carolina,370077,1,1
North Carolina,370079,2,3
North Carolina,370080,2,2
North Carolina,370081,2,4
North Carolina,370082,1,1
North Carolina,370083,2,3
North Carolina,370084,1,1
North Carolina,370085,1,3
North Carolina,370086,2,2
North Carolina,370087,1,3
North Carolina,370088,1,1
North Carolina,370089,2,4
North Carolina,370090,1,2
North Carolina,370091,1,1
North Carolina,370092,1,1
North Carolina,370093,2,2
North Carolina,370094,1,1
North Carolina,370095,1,3
North Carolina,370096,2,2
North Carolina,370097,1,3
North Carolina,370098,1,1
North Carolina,370099,2,3
North Carolina,370100,1,1
North Carolina,370101,3,5
North Carolina,370102,2,2
North Carolina,370103,1,1
North Carolina,370104,4,1
North Carolina,370105,1,1
North Carolina,370106,2,4
North Carolina,370107,1,1
North Carolina,370108,2,4
North Carolina,370109,1,1
North Carolina,370110,2,2
North Carolina,370111,1,1
North Carolina,370112,1,2
North Carolina,370113,2,3
North Carolina,370114,1,1
North Carolina,370115,2,4
North Carolina,370116,2,2
North Carolina,370117,3,4
North Carolina,370118,2,3
North Carolina,370119,1,1
North Carolina,370120,1,1
North Carolina,370121,2,2
North Carolina,370122,1,1
North Carolina,370123,1,1
North Carolina,370124,2,2
North Carolina,370125,1,1
North Carolina,370126,1,1
North Carolina,370127,1,1
North Carolina,370128,2,4
North Carolina,370129,2,5
North Carolina,370130,1,1
North Carolina,370131,2,2
North Carolina,370132,1,1
North Carolina,370134,2,2
North Carolina,370135,2,3
North Carolina,370136,1,1
North Carolina,370137,1,1
North Carolina,370138,1,1
North Carolina,370139,1,1
North Carolina,370140,1,2
North Carolina,370141,1,2
North Carolina,370142,1,1
North Carolina,370143,1,2
North Carolina,370144,1,1
North Carolina,370145,1,1
North Carolina,370146,2,2
North Carolina,370147,2,4
North Carolina,370148,1,1
North Carolina,370149,2,4
North Carolina,370150,2,2
North Carolina,370151,2,2
North Carolina,370152,1,1
North Carolina,370153,1,2
North Carolina,370154,1,1
North Carolina,370155,3,5
North Carolina,370156,2,3
North Carolina,370157,2,2
North Carolina,370158,1,2
North Carolina,370159,3,3
North Carolina,370160,1,2
North Carolina,370161,2,2
North Carolina,370162,1,2
North Carolina,370163,4,5
North Carolina,370164,1,1
North Carolina,370165,1,1
North Carolina,370166,1,1
North Carolina,370167,2,2
North Carolina,370168,2,1
North Carolina,370169,1,1
North Carolina,370170,1,1
North Carolina,370171,2,2
North Carolina,370172,2,2
North Carolina,370173,1,1
North Carolina,370174,1,2
North Carolina,370175,1,1
North Carolina,370176,1,1
North Carolina,370177,1,1
North Carolina,370178,1,1
North Carolina,370179,3,5
North Carolina,370180,1,1
North Carolina,370181,1,1
North Carolina,370182,2,3
North Carolina,370183,1,1
North Carolina,370184,1,1
North Carolina,370185,1,1
North Carolina,370186,1,1
North Carolina,370187,1,1
North Carolina,370188,2,2
North Carolina,370189,2,4
North Carolina,370190,2,2
North Carolina,370191,1,1
North Carolina,370192,1,4
North Carolina,370193,3,4
North Carolina,370194,1,1
North Carolina,370195,1,1
North Carolina,370196,1,1
North Carolina,370197,2,2
North Carolina,370198,1,1
North Carolina,370199,1,1
North Carolina,370200,3,4
North Carolina,370201,2,2
North Carolina,370202,2,2
North Carolina,370203,1,1
North Carolina,370204,2,3
North Carolina,370205,1,1
North Carolina,370206,2,3
North Carolina,370207,1,3
North Carolina,370208,1,1
North Carolina,370209,2,2
North Carolina,370210,2,2
North Carolina,370211,2,4
North Carolina,370212,2,5
North Carolina,370213,1,1
North Carolina,370214,1,1
North Carolina,370215,1,1
North Carolina,370216,1,1
North Carolina,370217,3,3
North Carolina,370218,3,3
North Carolina,370219,2,3
North Carolina,370220,1,1
North Carolina,370221,1,1
North Carolina,370222,3,3
North Carolina,370223,1,1
North Carolina,370224,3,4
North Carolina,370225,1,1
North Carolina,370226,3,3
North Carolina,370227,2,2
North Carolina,370228,2,2
North Carolina,370229,1,1
North Carolina,370230,2,2
North Carolina,370231,1,1
North Carolina,370232,1,1
North Carolina,370233,1,1
North Carolina,370234,2,2
North Carolina,370235,1,3
North Carolina,370236,1,1
North Carolina,370237,1,2
North Carolina,370238,2,5
North Carolina,370239,2,4
North Carolina,370240,1,2
North Carolina,370241,1,2
North Carolina,370242,2,2
North Carolina,370243,2,5
North Carolina,370244,1,2
North Carolina,370245,2,2
North Carolina,370246,2,3
North Carolina,370247,2,1
North Carolina,370248,1,2
North Carolina,370249,1,1
North Carolina,370250,1,1
North Carolina,370251,1,4
North Carolina,370252,3,5
North Carolina,370253,1,4
North Carolina,370254,1,1
North Carolina,370255,1,1
North Carolina,370256,2,2
North Carolina,370257,1,1
North Carolina,370258,2,3
North Carolina,370259,2,3
North Carolina,370260,2,2
North Carolina,370261,2,3
North Carolina,370262,2,2
North Carolina,370263,2,2
North Carolina,370264,1,2
North Carolina,370265,2,3
North Carolina,370266,2,6
North Carolina,370267,1,4
North Carolina,370268,2,3
North Carolina,370269,1,1
North Carolina,370270,2,5
North Carolina,370271,3,4
North Carolina,370272,2,4
North Carolina,370273,1,1
North Carolina,370274,1,2
North Carolina,370275,1,2
North Carolina,370276,1,2
North Carolina,370277,2,3
North Carolina,370278,4,4
North Carolina,370279,2,3
North Carolina,370280,1,1
North Carolina,370281,1,5
North Carolina,370282,1,1
North Carolina,370283,1,1
North Carolina,370284,1,1
North Carolina,370285,1,1
North Carolina,370286,2,3
North Carolina,370287,1,3
North Carolina,370288,2,2
North Carolina,370289,1,1
North Carolina,370290,2,2
North Carolina,370291,3,4
North Carolina,370292,2,4
North Carolina,370293,1,1
North Carolina,370294,2,3
North Carolina,370295,2,2
North Carolina,370296,1,1
North Carolina,370297,1,1
North Carolina,370298,2,2
North Carolina,370299,1,1
North Carolina,370300,2,2
North Carolina,370301,1,1
North Carolina,370302,1,1
North Carolina,370303,1,5
North Carolina,370304,1,3
North Carolina,370305,2,2
North Carolina,370306,2,2
North Carolina,370307,1,2
North Carolina,370308,2,3
North Carolina,370309,1,1
North Carolina,370310,1,1
North Carolina,370311,1,1
North Carolina,370312,1,1
North Carolina,370313,1,3
North Carolina,370314,1,1
North Carolina,370315,2,2
North Carolina,370316,1,1
North Carolina,370317,2,3
North Carolina,370318,1,1
North Carolina,370319,1,3
North Carolina,370320,1,1
North Carolina,370321,2,2
North Carolina,370322,1,5
North Carolina,370323,2,2
North Carolina,370324,1,1
North Carolina,370325,1,1
North Carolina,370326,3,4
North Carolina,370327,4,7
North Carolina,370328,3,3
North Carolina,370329,1,2
North Carolina,370330,1,1
North Carolina,370331,1,1
North Carolina,370332,1,3
North Carolina,370333,1,1
North Carolina,370334,1,1
North Carolina,370335,1,2
North Carolina,370336,1,1
North Carolina,370337,1,1
North Carolina,370338,2,6
North Carolina,370339,1,1
North Carolina,370340,2,4
North Carolina,370341,2,3
North Carolina,370342,1,1
North Carolina,370343,1,1
North Carolina,370344,2,2
North Carolina,370345,3,4
North Carolina,370346,3,3
North Carolina,370347,2,2
North Carolina,370348,2,2
North Carolina,370349,2,5
North Carolina,370350,2,3
North Carolina,370352,1,2
North Carolina,370353,1,1
North Carolina,370354,1,1
North Carolina,370355,1,1
North Carolina,370356,3,3
North Carolina,370357,1,2
North Carolina,370358,2,4
North Carolina,370359,2,3
North Carolina,370360,2,2
North Carolina,370361,1,1
North Carolina,370362,1,2
North Carolina,370363,1,2
North Carolina,370364,1,1
North Carolina,370365,1,1
North Carolina,370366,1,1
North Carolina,370367,1,1
North Carolina,370368,1,1
North Carolina,370369,1,2
North Carolina,370370,1,1
North Carolina,370371,2,3
North Carolina,370372,2,2
North Carolina,370373,1,1
North Carolina,370374,1,2
North Carolina,370375,2,3
North Carolina,370376,3,3
North Carolina,370377,2,3
North Carolina,370378,1,3
North Carolina,370379,2,2
North Carolina,370380,2,3
North Carolina,370381,1,3
North Carolina,370383,2,2
North Carolina,370384,1,1
North Carolina,370385,2,2
North Carolina,370386,2,2
North Carolina,370387,1,1
North Carolina,370389,1,1
North Carolina,370390,1,1
North Carolina,370391,2,4
North Carolina,370392,1,1
North Carolina,370393,2,3
North Carolina,370394,2,2
North Carolina,370395,1,2
North Carolina,370396,1,1
North Carolina,370397,1,2
North Carolina,370398,1,1
North Carolina,370399,3,4
North Carolina,370400,1,1
North Carolina,370401,1,3
North Carolina,370402,1,2
North Carolina,370403,1,1
North Carolina,370404,1,1
North Carolina,370405,2,8
North Carolina,370406,1,1
North Carolina,370407,2,2
North Carolina,370408,2,2
North Carolina,370409,1,1
North Carolina,370410,2,2
North Carolina,370411,3,1
North Carolina,370412,2,3
North Carolina,370413,1,1
North Carolina,370414,1,1
North Carolina,370415,2,2
North Carolina,370416,1,1
North Carolina,370417,1,1
North Carolina,370418,1,1
North Carolina,370419,1,1
North Carolina,370420,2,2
North Carolina,370421,2,6
North Carolina,370422,3,3
North Carolina,370423,1,1
North Carolina,370424,1,2
North Carolina,370425,2,2
North Carolina,370426,1,1
North Carolina,370427,2,5
North Carolina,370428,1,1
North Carolina,370429,1,1
North Carolina,370430,1,1
North Carolina,370431,2,4
North Carolina,370432,2,3
North Carolina,370433,2,2
North Carolina,370434,2,4
North Carolina,370435,1,1
North Carolina,370436,2,2
North Carolina,370437,1,1
North Carolina,370438,2,2
North Carolina,370439,1,3
North Carolina,370440,2,2
North Carolina,370441,3,6
North Carolina,370442,1,2
North Carolina,370443,1,1
North Carolina,370444,1,1
North Carolina,370445,2,2
North Carolina,370446,2,4
North Carolina,370447,2,2
North Carolina,370448,2,2
North Carolina,370449,1,1
North Carolina,370450,2,2
North Carolina,370451,1,2
North Carolina,370452,1,2
North Carolina,370453,2,2
North Carolina,370454,2,2
